Teff,N_lines
3200,18049
3300,17477
3400,16963
3500,16160
3600,15221
3700,14127
3800,13097
3900,12034
4000,11128
4100,10596
4200,10067
4300,9827
4400,9604
4500,9272
4600,8986
4700,8757
4800,8409
4900,8223
5000,7948
5100,7406
5200,7192
5300,6967
5400,6510
5500,6170
5600,5819
5700,5591
5800,5260
5900,5000
6000,4578
6100,4261
6200,4024
6300,3777
6400,3533
6500,3294
6600,3127
6700,3028
