Teff,N_lines
3200,16354
3300,16225
3400,16112
3500,15733
3600,14995
3700,14052
3800,13071
3900,12197
4000,11443
4100,11014
4200,10400
4300,10049
4400,9752
4500,9589
4600,9415
4700,9282
4800,9057
4900,8968
5000,8752
5100,8186
5200,8037
5300,7807
5400,7305
5500,6900
5600,6515
5700,6261
5800,5857
5900,5607
6000,5175
6100,4830
6200,4554
6300,4189
6400,3897
6500,3636
6600,3452
6700,3269
