Teff,N_lines
3200,16127
3300,15391
3400,14754
3500,13804
3600,12709
3700,11503
3800,10390
3900,9389
4000,8667
4100,8289
4200,7897
4300,7674
4400,7494
4500,7098
4600,6830
4700,6487
4800,6172
4900,6070
5000,5868
5100,5466
5200,5314
5300,5077
5400,4779
5500,4503
5600,4237
5700,4048
5800,3707
5900,3473
6000,3113
6100,2837
6200,2649
6300,2478
6400,2356
6500,2205
6600,2094
6700,2007
