Teff,N_lines
3200,17257
3300,17231
3400,17197
3500,16988
3600,16563
3700,15907
3800,15142
3900,14310
4000,13607
4100,13106
4200,12538
4300,12051
4400,11689
4500,11459
4600,11280
4700,11192
4800,10940
4900,10838
5000,10655
5100,10085
5200,9985
5300,9787
5400,9374
5500,8991
5600,8538
5700,8222
5800,7710
5900,7409
6000,6948
6100,6603
6200,6322
6300,5973
6400,5601
6500,5135
6600,4876
6700,4665
