Teff,N_lines
3200,14774
3300,14484
3400,14159
3500,13585
3600,12606
3700,11419
3800,10272
3900,9351
4000,8772
4100,8428
4200,7995
4300,7699
4400,7599
4500,7484
4600,7296
4700,7139
4800,6906
4900,6793
5000,6525
5100,6051
5200,5853
5300,5633
5400,5280
5500,4948
5600,4655
5700,4442
5800,4143
5900,3895
6000,3498
6100,3201
6200,2893
6300,2700
6400,2581
6500,2404
6600,2256
6700,2121
