,prominences,n_lines,std_dev
0,0.2,970,0.030622344824214942
1,0.1,2309,0.021552152214123817
2,0.06,3387,0.017983947892844666
3,0.03,5181,0.015474618944104044
4,0.01,8714,0.013104809484610519
5,0.006,10228,0.012889170951829239
6,0.003,11941,0.012697963085831142
7,0.001,13881,0.011788104348840608
